"id_parcel","surf_parc","code_cultu","source","id","type"
"12314167",0.08,"PTR","IGN","commune.12955","semiperennial"
"3436215",6.61,"SPH","IGN","commune.12922","perennial"
"3466023",0.31,"VRC","IGN","commune.13217","vineyard"
"3475007",0.45,"VRN","IGN","commune.12923","vineyard"
"3487718",1.77,"RVI","IGN","commune.13154","semiperennial"
"3487725",0.69,"VRC","IGN","commune.13146","vineyard"
"3507157",0.74,"J5M","IGN","commune.13154","semiperennial"
"3487722",0.59,"VRC","IGN","commune.13146","vineyard"
"3490361",1.87,"PTR","IGN","commune.13109","semiperennial"
"3488977",0.51,"FAG","IGN","commune.13109","fodder"
"3483401",0.74,"RGA","IGN","commune.13070","semiperennial"
"10134058",0.8,"VRC","IGN","commune.13070","vineyard"
"12325316",0.71,"VRC","IGN","commune.13154","vineyard"
"12326267",0.78,"VRT","IGN","commune.13154","vineyard"
"3451620",0.83,"RGA","IGN","commune.13227","semiperennial"
"3453043",0.79,"ORH","IGN","commune.13049","barley"
"3443162",0.64,"VRC","IGN","commune.12955","vineyard"
"3454806",0.7,"RGA","IGN","commune.13013","semiperennial"
"3454970",0.35,"VRC","IGN","commune.13013","vineyard"
"12301247",0.8,"VRC","IGN","commune.12922","vineyard"
"3442339",1.84,"VRC","IGN","commune.13121","vineyard"
"10135234",0.71,"SPL","IGN","commune.12922","SPL"
"12312029",3.23,"SPH","IGN","commune.13305","perennial"
"12303369",82.75,"SPL","IGN","commune.13049","SPL"
"3456949",0.62,"J5M","IGN","commune.13156","semiperennial"
"3522880",0.14,"SPL","IGN","commune.13148","SPL"
"3452001",8.16,"SPL","IGN","commune.13148","SPL"
"3474713",1.61,"SPL","IGN","commune.13227","SPL"
"3474704",0.51,"SPL","IGN","commune.13227","SPL"
"3474710",3.48,"SPL","IGN","commune.13227","SPL"
"3452296",1.97,"MLG","IGN","commune.13049","MLG"
"3451855",0.47,"PRL","IGN","commune.13049","semiperennial"
"3474629",0.09,"SPL","IGN","commune.13227","SPL"
"3474702",0.07,"SPL","IGN","commune.13227","SPL"
"3453757",0.29,"SPL","IGN","commune.13266","SPL"
"3451853",1.54,"PRL","IGN","commune.13049","semiperennial"
"3451858",0.48,"PRL","IGN","commune.13049","semiperennial"
"3451927",1.32,"PRL","IGN","commune.13049","semiperennial"
"3474630",1.82,"SPH","IGN","commune.13227","perennial"
"3474789",2.71,"PRL","IGN","commune.13227","semiperennial"
"3474543",4.44,"SPL","IGN","commune.13227","SPL"
"3454224",2.16,"LUZ","IGN","commune.13227","fodder"
"3454224",2.16,"LUZ","IGN","commune.13266","fodder"
"3452180",1.07,"SPH","IGN","commune.13148","perennial"
"12300716",36.94,"SPL","IGN","commune.13148","SPL"
"3454370",0.45,"SPL","IGN","commune.13266","SPL"
"3454301",1.33,"PRL","IGN","commune.13266","semiperennial"
"3453098",0.94,"SPL","IGN","commune.13227","SPL"
"3453098",0.94,"SPL","IGN","commune.13266","SPL"
"3453100",6.62,"SPH","IGN","commune.13266","perennial"
"3452579",0.21,"SPH","IGN","commune.13266","perennial"
"12309968",0.95,"SPH","IGN","commune.13070","perennial"
"3447677",0.95,"BDH","IGN","commune.12999","wheat"
"10124000",0.63,"VRC","IGN","commune.13109","vineyard"
"3492841",0.62,"PTR","IGN","commune.12959","semiperennial"
"3492589",0.12,"PPH","IGN","commune.12959","perennial"
"3449678",0.42,"SPL","IGN","commune.13202","SPL"
"3449680",6.3,"SPL","IGN","commune.13202","SPL"
"3449422",3.67,"SPL","IGN","commune.13202","SPL"
"3449421",37.59,"SPL","IGN","commune.13143","SPL"
"3449421",37.59,"SPL","IGN","commune.13202","SPL"
"3449421",37.59,"SPL","IGN","commune.13251","SPL"
"3448887",0.34,"LUZ","IGN","commune.13068","fodder"
"3447832",1.41,"ORH","IGN","commune.13003","barley"
"3448561",2.77,"ORH","IGN","commune.13003","barley"
"3447762",0.45,"RGA","IGN","commune.13112","semiperennial"
"3519681",0.32,"VRC","IGN","commune.13235","vineyard"
"12310169",1.18,"PTR","IGN","commune.12959","semiperennial"
"12310171",18.77,"SPL","IGN","commune.12959","SPL"
"12310171",18.77,"SPL","IGN","commune.13070","SPL"
"3492152",0.51,"PPH","IGN","commune.13090","perennial"
"12309951",1.36,"SPH","IGN","commune.13070","perennial"
"3493299",0.03,"SPL","IGN","commune.12926","SPL"
"12311218",186.99,"SPL","IGN","commune.13227","SPL"
"12311218",186.99,"SPL","IGN","commune.13266","SPL"
"12311249",3.1,"SPL","IGN","commune.13266","SPL"
"12311217",1.12,"SPL","IGN","commune.13266","SPL"
"3452142",0.55,"SPH","IGN","commune.13143","perennial"
"3452142",0.55,"SPH","IGN","commune.13155","perennial"
"3494306",1.25,"SPH","IGN","commune.12926","perennial"
"3493212",1.06,"SPL","IGN","commune.12926","SPL"
"3490145",0.52,"VRC","IGN","commune.13041","vineyard"
"3452085",0.6,"SPL","IGN","commune.13061","SPL"
"3452085",0.6,"SPL","IGN","commune.13143","SPL"
"3488054",0.57,"VRC","IGN","commune.13144","vineyard"
"12311571",4.74,"ORH","IGN","commune.13049","barley"
"12311487",1.89,"PTR","IGN","commune.13049","semiperennial"
"12311443",3.43,"SPL","IGN","commune.13049","SPL"
"3493551",0.22,"PRL","IGN","commune.13049","semiperennial"
"10133345",0.24,"PRL","IGN","commune.13049","semiperennial"
"10133408",0.08,"PRL","IGN","commune.13049","semiperennial"
"3493554",1.7,"MLG","IGN","commune.13049","MLG"
"12311435",0.13,"SPL","IGN","commune.13049","SPL"
"3446039",0.41,"VRC","IGN","commune.13041","vineyard"
"3493556",2.7,"MLG","IGN","commune.13049","MLG"
"3446037",0.62,"VRC","IGN","commune.13041","vineyard"
"3446119",0.19,"OLI","IGN","commune.13041","olivetree"
"3496564",0.15,"PRL","IGN","commune.13063","semiperennial"
"3537048",0.94,"VRC","IGN","commune.13139","vineyard"
"3533591",0.41,"VRC","IGN","commune.13028","vineyard"
"3526183",0.18,"VRC","IGN","commune.13217","vineyard"
"3491551",3.35,"PRL","IGN","commune.13109","semiperennial"
"3491550",2.39,"PPH","IGN","commune.13109","perennial"
"3491549",0.41,"SPL","IGN","commune.13109","SPL"
"3494664",0.17,"SPL","IGN","commune.13227","SPL"
"3495029",0.57,"SPH","IGN","commune.13227","perennial"
"10137841",0.79,"PPH","IGN","commune.13214","perennial"
"3456153",1.56,"VRT","IGN","commune.12947","vineyard"
"3456152",0.38,"VRT","IGN","commune.12947","vineyard"
